plot,date,reading,quad,device,notes
PPW1301,20200509,6.3,C2,4080,
PPW1301,20200509,10.3,C3,4080,
PPW1301,20200509,9.7,C4,4080,
PPW1301,20200509,3.5,D4,1799,
PPW1301,20200509,3.8,D3,1799,
PPW1301,20200509,3.2,D2,1799,
PPW1301,20200509,3.1,D1,1799,
PPW1307,20200509,8.1,A1,4080,
PPW1307,20200509,11.3,A2,4080,
PPW1307,20200509,7.5,A3,4080,
PPW1307,20200509,7.6,A4,4080,
PPW1307,20200509,3,B4,1799,
PPW1307,20200509,3.6,B3,1799,
PPW1307,20200509,3.8,B2,1799,
PPW1307,20200509,10.5,B1,1799,
PPW1307,20200509,4.2,C1,4080,
PPW1307,20200509,6.5,C2,4080,
PPW1307,20200509,6.1,C3,4080,
PPW1307,20200509,8,C4,4080,
PPW1307,20200509,4.5,D4,1799,
PPW1307,20200509,5.2,D3,1799,
PPW1307,20200509,4.5,D2,1799,
PPW1307,20200509,3.1,D1,1799,
PPW1325,20200509,7.5,A1,4080,
PPW1325,20200509,5.2,A2,4080,
PPW1325,20200509,7.9,A3,4080,
PPW1325,20200509,7.8,A4,4080,
PPW1325,20200509,4.2,B4,1799,
PPW1325,20200509,3.1,B3,1799,
PPW1325,20200509,4.5,B2,1799,
PPW1325,20200509,3.9,B1,1799,
PPW1325,20200509,5.5,C1,4080,
PPW1325,20200509,6.8,C2,4080,
PPW1325,20200509,8.5,C3,4080,
PPW1325,20200509,8.8,C4,4080,
PPW1325,20200509,4.5,D4,1799,
PPW1325,20200509,6.5,D3,1799,
PPW1325,20200509,3.5,D2,1799,
PPW1325,20200509,4.5,D1,1799,
